reviews,sentiment
stay nice first really high expectation legacy story although stay nice comfortable disappointed food shamiana night birthday celebrating mood spoilerthe full wedding group hence lot crowd within premise avoided many common area food masala kraft really nice avoid weekend large wedding service becomes slow sea lounge worth visiting kind scenic view offer breakfast spread sea lounge exquisite,Positive
heritage property possibly best stayed family frequently visit place celebrate birthday anniversary stay ensures single stay absolutely memorable even stayed 2 night pandemic happy share follow covid protocol last line restaurant exceptional though shamiana isnt great year back golden dragon masala kraft souk stand best finedine restaurant room well taken care tower wing room service exceptionally personalized,Positive
best hospitality ever truly feel home outside home team stretch beyond norm ensure comfort show level hospitality consistent could staycation,Positive
begin check experienc smooth staff accommodating lucky get upgrade old wing quite exciting impeccable spacious room full view swimming pool memorable experience trust handle week end crowd meticulously tasted delicious food shamiana sumptuous breakfast sea lounge che,Positive
absolutely relaxing thoroughly efficient service must try experience one best world egg benedict cannot cooked better golden dragon wasabi icon highly recommended,Positive
excellency everything checkin till checkout friendly staff make feel good like extend stay pandemic time followed high level hygiene make feel safe,Positive
establishment witnessed empowered customer facing team humility grace particular staff epitomise hospitality point entry checkin restaurant even concierge whole system work whats everyone make feel special irrespective room category example struggled get booking golden dragon valentine day fb department went way send amazing crispy aromatic duck favourite room gesture goodwill breakfast long wait shamiana avoided giving special table sea lounge car parked trip cleaned day like,Positive
best property country gave experience lifetime food amazing room surreal swrvice spot right check feel special staff epitome efficiency,Positive
family stay one night week end 1112jul nice food best early check given little crowed week end best place covid time want stay city mr raju nice restaurant family face issue extra bed already confirm extra bed time booking put extra bed room neither ask time need extra bed wife finally call late night around 12am reception lady inform bed available running full capacity cannot arrange wife called say already confirm booking lady reception agree provide bed finally around 1am manage get extra bed,Positive
everything perfect except food food quality mark given option shamiana masala kraft crystal hall dinner went crystal hall thinking buffet various option however disappointed see proper starter one item chicken shawarma like much veg also one item also buffet item good taste ordinary desert good except food everything good checkin checkout good room service service restaurant good,Positive
something special abou hospitality comfort food always attracts stayed lot property memorable experiencesit surely stand class apartone step ahead hospitality comfortable environment feel like home atmosphere make choose mostly stay,Positive
epic birthday akash front desk brilliant got better food masala craft good dinner shamiana excellent breakfast sea lounge great got lil cake n candle like come back birthday revisit unsurpassable class service,Positive
stayed place wing sea view room bustling service great dinner golden dragon excellent subtle food lovely service mr prakash veteran sea lounge service excellent baban percy etc experienced hand jiva spa probably one best country world overall great hospitality signature empathy staff best difficult circumstance hospitality social distancing norm easy fairness one expecting everything like used patient everyone trying best,Positive
since college day london laid eye property finally year january opportunity stay day prestigious iconic landmark hospitality remains unparalleled stay different one experienced property maldives london land end bombay staff remain courteous polite go beyond accord warm stay food amazing private yacht witness sunset arabian sea must chose heritage building stay could see gateway bedroom window sipped coffee watched bird fly sea truly amazing stay checkout received gift tiny little,Positive
marriage anniversary thought giving spouse great surprise spending time definitely great experience stay awesome heritage property good food great though historic surroundings explore however experience staff overall except babanji sea lounge par definitely felt valued way however like appreciate gesture shown mr baban sea lounge soon came know anniversary find shown restaurant manager small important gesture make feel special special day overall definitely recommend,Positive
weekend wishing great sense unfortunately case right time take enter check almost hour done meant time went restaurant lunch told last order 245 entered 250 seated 310315 finally get food 345400ish chaos noise resembled third rate restaurant near railway station masala craft entire lobby almost public space like bus stand instead oasis calm peace luxury supposed short staff barely able answer query offer proper suggestion guidance making,Positive
pampered way word go enter door historical masterpiece property food service facility amaze staff courteous helpful kudos keep good work,Positive
stayed day 1st 2nd july restaurant earlier first stay staycation special occasion amidst lockdown special thanks aashish helped beginning checkin room showing different room option ensuring even one day spent well room well done sanitized peace mind staff wore mask guest also wore mask sanitizers placed everywhere one security staff blue jacket courteous rather rude 4yrs old son tried revolving door second time nice understand safe polite way put across surely disappointing,Positive
excellent experience front desk well trained staff guidance duty manager rahil sea lounge goudy motivated food average tasty mouth watering well cooked dish best service team put like stomach got full heart asking kevin kashmira gaurav mala always smile take care look chat like family sumit karan taking extra personal care rajender kept home room clean fresh always dipesh happy take care service room dining little sweet girl best serving room dining order sorry missed name personal note mahtaab stay feeling homely frankly,Positive
one best specially actually historical place definitely recommend stay atleast minimum 2 night also try restaurant food food tasty yummy mouthwatering lot love hospitality,Positive
got opportunity stay executive suite much information picture around web let describe one word exceptional moment arrival moment open room door moment leave room come free tea package pp sea lounge overlook sea obvious gate also come free two piece garment ironing basket fruit daily come room several time day prepare breakfast lunch dinner even figure curtain go around place huge case came full boarding meal two restaurant masala kraft,Positive
came staycation unwind disappointed ever since checkin lobby looking like airport flight got cancelled checkin delayed 15 hour water refreshment asked waiting checked social distancing norm followed covid appropriate behaviour followed guest body reinforce staff unable handle crowd calm place turned noisy railway station dining area another noisy place manager gaurav leading fb kind enough take feedback apologise chaos expect lot better come place beautiful view room amazing time lacked hospitality,Positive
stayed luxury grande ocean view room b'day celebration totally worth luxury best also breakfast spread sea lounge wonderful one best coming soon,Positive
beautiful experience overall thanks manager m toral wonderful supportive upgrade suite amazing masala craft divine cuisine face_blowing_a_kiss love,Positive
husband incredible stay unparalleled hospitality today's age nearly impossible recreate founder's vision hospitality kept vision alive passion work attitude always felt warmth cheerfulness positivity everyone stay definitely lot hustle behind calm face never get see always saw calm smiling happy face face happy see speak spoke though family take care may place sincere appreciation following member arzaan billimoria rahul front office seamless checkin karan menon,Positive
like thank reception staff helping extra luggage providing best posting service courier company named sparrow global shipping located behind providing prompt help amazing service posting good countrythank,Positive
love staycations ive stayed 5star property around town except try supposed relaxing staycation mental wellbeing stayed property solo first even though booked got room tower adjoining building dont know usually like unlucky front desk executive showed absolutely warmth welcoming looked overworked couldnt care le even though assume part job care guest might wrong room lacked character wasnt even painting room forget looking luxurious looked felt like room,Positive
ive always loved visited grandfather since 90 however lately ive feel extremely unwelcome didnt serve even cup coffee walked sealounge 401 pm said dont allow outside guest 4 couldnt even take minute consideration apparently semi formal dress code serve street food inside think definition hypocrisy overall lost charm essence heritage upon time attitude guest god never say guest replaced guest inconsequential feel free say guest guest come last new staff rude arrogant extremely impertinent quality,Positive
overall great experience relaxing staycation great food superb room absolutely fivestar experience way great time weekend get little busy looking relaxing time suggest staying week,Positive
star sits atop 5 star bombay star staff helpful go way accommodate want celebrate something amazing,Positive
golden memory 16 people stay colaba friend mansukh karnawat 50th anniversary good ambience good food excellent hospitality caring staff lifetime memory stay definitely suggest friend take life time experience,Positive
second time staying first time stayed wedding night celebrated wife's birthday special sweeter hospitality view outstanding comfort bed exquisite service incomparable special thanks faisal special helping decorate room wife surprise breakfast outstanding felt safe sanitisation everywhere thanks wonderful maharaja experience,Positive
"pre check booked apollo suite voucher guaranteed upgrade city view executive room spoke reservation team saying like sea view room possible upgrade higher category available told differential tariff charge ""guaranteed"" upgrade discussed never wanted assured upgrade become subject availability date check clearly discussed reconfirmed phone infact even morning day prior called asked early check possibly told thing surprise late evening day ie day prior check received saying upgrade possible pay",Positive
dear sri rohit khoslaji hope youre well writing email express gratitude appreciation recent stay iconic tower travelling wife son cousin first time visiting beautiful think first umbella fill heart joy absolutely life name flagship clear example root tree strong element flourish appointed beautiful room extremely well kept oozed royalty corner cuisine prepeared chef world able taste lebanese chinese north indian cuisine one,Positive
wonderfull experince legacy follow wonderfull mauntain historical structure new age comfort must say lifetime experince specialy sea view room nice room dine experince,Positive
excellent experience appreciate courteousness promptness staff mr rishi reception gave warm welcome ensured smooth check m mehnaz apologize misspelt name parsi lady courteous humble wife feel comfortable alongwith mr rishi guided right till suite special thanks upgrading room real surprise icing cake surprise celebration planned 50th wedding anniversary staff came stay child grandchild amazed see preparation must say staff wedding,Positive
luxury 118year old landmark without doubt one tallest landmark indian hospitality industry want finest luxury customer service look staycation family memorable experience word really enough describe pure magic tajness iconic historical place witness major event last century hosted dignitary celebrity world visit stay definitely recommended staff mention louella shikha front desk m mahtab managing operation room suggestion sea view 3rd floor others beautiful poolside area ideal,Positive
dear mr taljinder singh sir hoping wishing find well back staycation l always look forward writing review give chance relive beautiful memory know mail always lengthy requesting spare extra moment read mail dil se dil tak begin mr rithun ail hold key wonderful world celebration bliss make whole reservation process seamless always recommend best surely gueststhank rithun moment arrival check l rest assured many many moment surprise joy meeting beautiful m mahtaab sidhwa lobby give different level,Positive
excellent experience service food specially house keeping staff nitin gave great house keeping service family specially daughter make feel like home also want appreciate sandeep house keeping supervisor,Positive
best time family covid time blast time together thanks giving beautiful time service overall best time experience moment service,Positive
great hospitality excellent food special thanks russell manager shamiana sunny shoaib evamahesh housekeeping guy stay comfortable wasim checkout helpful thank tajness,Positive
super happy hospitality n special thanks mr satish gaikwad actually helped parent best anniversary celebration much love staff chef n management whelmed one could ask surprise upgrade n thank bottom heart,Positive
attending breakfast buffet first time shamiana amazing experience vast menu variety dishesmade 25th anniversary memorable provided balloon flower celebrationvery co operative staff,Positive
three couple enjoyed staying excellent food quality great taste staff level friendly reliable helpful particularly mr satish lobby mr adil shamiana restaurant,Positive
like thank gratitude team member smiling eye possible memorable experience absolutely seamless fabulous always remain close heart,Positive
great experience wonderful time especially seemed like switch button world switched outside perfect staycation best birthday gift could ask,Positive
welcomed infectious smile ganesh concierge smooth checkin done gaurav thanks simran getting beautiful delicious cake celebrate stay sejal room dining recommended svara truly enjoyed thanks adrian getting dinner time throughout stay breakfast team shamiana souk hriati omkar faki jatin esther dipali eva pampered everything table chef definitely ensured everything tasted perfection never disappointed meghraj colleague suite spotless time thanks toral experience always one best memory life toral really went way make,Positive
toral reception absolute delight coordinating best friend stay honeymoon absolutely profession super helpful helped necessary arrangement done knowing cranky kept calling back back however remained absolutely poised kind thats mark true true professional thats least one expects representative thank toral patience hospitality also big thank front desk team,Positive
hi great experience staying stay 21st 26th pandemic service smoothly everything working hat working staff well best wish always,Positive
like food nobody give historic fact property even call reception welcome drink dinner worth overall experience par,Positive
hi writing mail heart full gratitude towards team checked 7th april 2 night attended mrwasim receptionist extremely helpful definitely stay future visit guy definitely know make people feel special guy best thanking,Positive
truly memorable fabulous stay experience may call tajness room good ocean view service prompt everything taken care room dining food best good try sea lounge good indian breakfast inhouse restaurant good mr arzaan billimoria staff extremely helpful know work well,Positive
stayed wing memory life time room opulent big giving true palatial feel also saw room tower wing smaller 5 star restaurant truly live theme authentic country yes expensive worth experiencing sure,Positive
quiet long year could finally back best whole world usual surprise something even beautiful wonderful last time always get special treatment feel like week though dont know deserve thisit lovely time got beautiful upgrade fantastic room like time magical feel treated special time like life vip also nice staff even telegnere face n make feel familiar house honest comparable 5 star comparison sake categoryit least 10 star experience,Positive
covid putting damper overseas travel decided nevertheless needed pampering spring break found neighborhood room luxurious food delicious spa experience extremely relaxing think favorite part simply sitting veranda overlooking pool sipping mimosa huge ceiling fan gently wafted cooling breeze caught reading look forward next visit hope break away beauty half day take ferry elephanta island embarkation point directly conveniently directly across street,Positive
checked anniversary remain one memorable day word able justify stay describe beauty place still try best indeed rustic look antique displayed wall painting displayed throughout give feel visiting art gallery room huge sea facing could see gateway spick dirt dust anywhere entire heritage property yet maintained well staff extremely courteous covid norm strictly followed everyone checked temperature staff wore mask time food excellent well entire feel experience,Positive
got opportunity one night staycation wing 5th floor club sea view room room well maintained clean high standard changing time provided qr scan code inroom dining experience stay included sea lounge access breakfast high tea food good chef fb server polite attentive food good property allow outside food ordered,Positive
visited 1st time ever celebrate 15th anniversary overwhelmed love hospitality showered upon stay always thankful sweet gesture management thoroughly enjoyed multi cuisine buffet crystal room beautiful fresh breakfast seaview lounge 3 course meal masala kraft thank much experience worth money spent hope return soon bless many year success glory,Positive
wife 21st feb 2021 excited stay right moment entered experience bad staff either staff quite irritable something surprising customer completely taken aback hospitality never five star property ever stay comfortable everything else quite pleasurable experience simply unhappy must visit second floor beautiful picture right year 1904 menu history,Positive
experience stay excellent recommend friend vegetarian food tasty also small museum library covid care taken properly obviously preference always old,Positive
2 night stay luxury grande sea view room 5th floor perfect setting 43rd wedding anniversary checking enormous doubt safety ongoing pandemic fear allayed reached noticed highest safety norm force iota chance infectionand safety arrangement perhaps even better home first interaction staff arrival unlike 5 star property encountered till date respectfulness warmth good manner found ingrained individual level rare found,Positive
booked luxury grande sea view room old heritage building 5th floor keeping covid need ensuring strict fool proof compliance covid precaution norm level including menu sanitized occasion handing guestshence safe prevalent covid condition highlight stay top class personalised service care extent pampering entire stay often seen located close proximity commercial hub like nariman point ballard estate government office port indian naval facility room spacious well maintained modern amenity good contemporary furniture,Positive
giving service like king queen amazing experience prefer friend go live experience like vvip thank,Positive
anniversary stay booked sea facing room breakfast however upgraded suit amazing gesture amazing service staff know make customer happy keep rocking,Positive
love stay family staff welcoming friendly compare travel stay serving partner courteous make stay comfortable memorable keep good workbesides give experience royal stay taste indian authentic food overall awesome stay,Positive
stayed night celebrate wedding anniversary doesnt parking building provide valet parking parked outside road surprise luggage sanatised arrival arrival check procedure took time reception busy room together 8th floor however city view instead sea view disappointment specially reservation told definately look upgrade however arrival lady said thats subject availability bit sure much change reservation arrival booking day morning anyways didnt bother ourself much room expected colour,Positive
something better 5 star higher set benchmark others follow employee went way make stay memorable one,Positive
one experience enjoy welcome hospitality wah crown regard staff member management humble helpful given time great ok_hand,Positive
excellent great experience people courteous recommend atleast stay life time never experience reservation simple friendly,Positive
dear team first like thanks giving opportunity share experience smiling_face_with_smiling_eyes booked room prefer stay got coupon corporate time check provided coupon discussion shreya said facing technical issue redeem voucher come back later check evening checked one male executive redeem coupon said use time check need worry enjoy stay day check discussion shreya subhashish voucher redeem per suggestion top voucher waiting new pin however havent received mail yet finally online payment,Positive
visited souk occasion son 12th birthday party based bangalore considering covid travel restriction wanted keep travel limited disappointment first started opened sanitised dish pack set napkin missing either fork spoon missing 8 may 34 pack complete set disappointment continued step one ready take order order served long break one order completely forgotten drink served food completely small surprise cake son served leave couldnt even enjoy 14th cake completely full,Negative
birthday week stayed part celebration absolutely amazing sea facing room gorgeous view partner surprised sunset cruise perfect hope visit soon continue luxury experience cheer,Positive
time social distancing followed lobby like fish market restaurant full house guest denied table breakfast standard never come back need work,Positive
stay good got sea view room ambience interior also good enjoyed service covid guidliness shamiana masala kraft food good valet parking security service also good,Positive
"heritage property look beautiful front sea room precious spacious amenity 1 thing disappointing book meal time dinner asked jain food duty officer say fix menu cant provide anything elsepouting_face review per formality manager sends typical response ""dear sir heartily sorry inconvenience caused next time visit care etc whats trouble experience next time provide free stay refund money current stay",Positive
"amazing place ambience staff location view service everything worth"" good good resturantsrenovated room good facility ideal location mumbaiconvenient business well leisure traveller food choice resturants good staff friendly courteous",Positive
experience hardly put word architect enjoyed minute magnificent detail architectural design hospitality point food excellent experience spelled sheer beauty 3,Positive
8 year old daughter weekend vacay staff property great starting tanweer guest relation manager rithun sale manager gave accurate information helped making journey smoother wonderful time check requested sea view acknowledged piran colleague front desk mahtaab sidhwa also assisted pleasant good extremely accommodating allowed check early room allotted amazing view exemplary housekeeping delight surprise based conversation youve manager got valentine stuff decorated room daughter overwhelmed enjoyed,Positive
given dinner coupon taking outside walkin customer got place sit masala craft shamiana family dine ball room bad experience like marriage hall could sit together men wanted drink ambience great complained food beverage managerhe helping trying convince ballroom dinner package booking executive beverly clearly mentioned lunch dinner could masala craft shamiana wasted hour request place sit 8 people bad experience next morning post bfast asked lunch booking one designated restaurant reception directed go see restaurant,Negative
best world exemplary housekeeping excellent personal touch great food masala kraft best place want explore highlight front office staff amazing,Positive
like express thanks appreciation service care received 10022021 11022021 took wife oneday staycation wanted perfect staff disappoint name harendra reception support staff name like suhas ashutosh prasenjeet anselm besides entire house keeping staff maintaining property spick span condition security maintaining safety guest allied staff level hat team eager visit,Positive
arrival without request upgrade room tower top category great surprise apart service food quality taste room size room view cleanliness thing top notch topclass honeymoon night spent really well memorable trip definitely visit,Positive
given sea view disappointing birthday celebration asked given one view got fun birthday celebration could done better great celebration happened,Positive
always wish list stay lived expectation beyond one beat hospitality receptionist bell boy room service always smile property beautiful cannot compared feeling get part history experience got upgraded suite like one bedroom apartment everything clean sanitized stringent method covid prevention gave feeling safety loved stay thank,Positive
pleasant valuable time spent life time experience memorable gift wife rexina 26th wedding anniversary overall staff hospitable mr sandeep ghuge floor housekeeping gave extraordinary service till end bid farewell wonderful time well spent,Positive
stayed spanish suite beautiful suite ever stayed including venetian suite suite abroad hospitality excellent covid precaution taken perfect stay,Positive
short holiday family sea facing room view amazing stayed retained old world char keep reputation hospitality service morning sun rise room mesmerizing,Positive
midnight 7th february 2021 looking room 3 people allowed walk reception desk trying contacting personnel lady attended call redirect central reservation without even listening whole query happend thrice really wasnt helpful someone kept transferring pathetic response settled trident nariman point,Negative
inspite covid issue missing old face exuberance class looking forward seeing back team friendly property incomparable view unmatched,Positive
say start summarize overall 5star packaged experience going 3rd party booking apps helped gain first hand experience talking directly reservation team m shruti khanna keep occasion dad retirement super special helped right choosing suite accommodating many free upgrade available week day apollo suite executive suite free pick drop tata hexa jaguar 24 hour stay experience nothing le exotic exquisite experience thank anshultravel desk pearl inhouse photographer monareservations duty manager ashfaquevery elegant chauffer entire crew making memorable experience life,Positive
leisure stay day like dream came truesea facing room nothing like love hotelhats indian heritage one pamper family least life time cause zindagi na mile dubara,Positive
pleasure spend 50th birthday team wonderful outgoing friendly professional nothing left chance everything wellorganized pleasure eating arabic japanese restaurant stay spend time bar everything pure perfection highly recommend staying south,Positive
located best place staff attentive beautiful decorated room new furnishing washroom clean excellent location food also good complaint enjoyed one night stay recommend,Positive
iconic place great hospitality view room lavish great ambiance comfortfront desk helpful need minute checkin property area improvement buffet breakfast mark tah,Positive
check check everything experience treasure room service staff humble restaurant staff caring can't afford miss compliment word hospitality best,Positive
iconic place great hospitality levi room great ambiance luxury front desk helpful ready serve soon enter buffet breakfast need improvment need serve hot must visit enjoy calm relax holiday,Positive
"booked apollo suite tower celebrate wedding anniversary reservation experience shruti excellent could feel wanting best experience checkin smooth instant got special upgrade property absolutely stunning take back line walk heritage must room elephanta suite ""what dream off"" experience enjoy lunch banquet dinner souq special mention sangria food breakfast shamiana lunch shamiana special mention excellent food lavish portion parvathi well organized extra covid care taken",Positive
right word go amazing experience foodroomother service exceptional view room amazing treated well offered best service overall extremely satisfying 24 hour thank,Positive
excellent stay hyderabad banjara recently satisfied mentioned earlier m shreya helped upgradation roomhelped personallya staff member like make proud famous staff member cooperative,Positive
value money courteous professional staff always ready help customer maintenance 100 year old heritage property excellent pleasure walking around descending stair case,Positive
stayed suite night room separate living dining space one finest room designed intricate planning rare artefact though oldest retains charm enjoyed private dinner queen room beyond expectation overall wonderful stay,Positive
landmark historical always dream family housekeeping team wonderful decorated room arranged cake daughter's birthday amazing hospitality,Positive
stayed 5 day got married president awesome property awesome sea view humble staff delicious food pool side relaxing salon staff friendly booked suite really posh best offered flower bouquet cake pastry room red wine,Positive
love everything lovely stay good food helpful people around like come vacation best thank making stay memorable,Positive
group friend trying work new year especially given pendamic curfew new year certainly time alone wanted together considered option talked mehernavaz deputy gm decided book together suggestion mahtaab looked stay booked gateway suite joining room also took interconnecting room younger son arrival met mahataab taken amazing suite preordered dinner consultation jezan ramneet upon settled turn went spa amazing massage everyone relaxed,Positive
booked md responsed good manner staff given complimentary late check even charge day guest,Positive
family function xxld santa cruz since bride quarantined travel issue rebook facing gateway room banquet hall place price positioning people superb sarita singh coordinating special mention sure arrangement par excellence sunday sure room function area ready much time could arrive rate service drink food matched budget also connected best photographer decorator function well arranged thank sarita ji focus passion job proud,Positive
stopover went quiet family lunch indian retaurent good able make jain dish delectably ambience usual fantastic well decked christmas staff courteous iconic property experience always superlative thumbs_up,Positive
given name actually celebrated 10th wedding anniversary initial booking tower given surprise offering stay property smiling_face_with_halotruly blessed thank,Positive
superb great service checkin smooth got upgraded 115 year old building quite amazing whole property well maintained excellent cleanliness sanitizers wipe safety gear place breakfast sea lounge wonderful experience thing need improve clarity inclusive package offer checkout confusion could avoided trip flawless overall experience memorable,Positive
right arrival departure stay well coordinate synchronized organized executed well feeling royal team waiting side big smile small gesture matter lot act make team stand apart experience right well setup room personalized photo around room celebration cake warn hospitality across length breath property delicious cuisine well sanitized hygiene standard make feel extra safe comfortable difficult time covid 19 thanks team special mention m mahtaab sidhwa team masala kraft shamiana sea lounge special warmth attention,Positive
remember visiting gateway young girl wishing could stay prominent iconic landmark wish came true grace god stayed heritage wing celebrate mother law's birthday gorgeous sea facing club room indeed treat treated like royalty moment arrived service impeccable staff front desk restaurant concierge courteous polite staying lifetime experience one dream repeating,Positive
regularly host wedding zero disregard anything besides getting many people possible wedding 15 people lift without mask meant 4 loud music rooftop literally make room several floor vibrate recommend anyone coffee shop disaster well,Positive
great check m mahtab dm yohan smooth stay best suite stay lovely suite primrose suite felt like home know treat regular guest well kind gesture special regard arzaan billimoria seen front office duty manager earlier day great see hardworking person rewarded group indian happy assist minute thing need special thanks sale team led shaheen ishita staying anniversary amazing never fails live reputation get deal hyatt trident st regis rupee spent worth service smooth amidst current,Positive
returned back stayed 2 night travelled pune relax sea lover paid much extra booked luxury grande sea view room checkin quite smooth soon entered room could sense something wrong room felt like staying old closed damp room started finding whats wrong surprise found whole bedhead full fungus lamp wall frame full dust escalating matter changed room executive suite room city view didnot want agreed stay room fresh nicely done come next part booked 2nights major meal breakfast plan,Positive
excellent always front office executive need know member redeeming point could utilised point lapsed process need put place direct booking redeem tic point current trip reflected account,Positive
family 7 stayed luxuriously stunning gulmohar suite sea view club room luxury room beautiful heritage wing 28th nov celebrate birthday wing incredible history elegant corridor full artifact painting real way word describe without present person experience staff went beyond make experience unforgettable family grandchild thoroughly enjoyed towel art specially organised kid thank staff stay special special mention m cybercia mr salian m beauty kind courteous m mahtaab director operation,Positive
memorable enjoyable stay best service food spread quality staff housekeeping front desk concierge restaurant ave courteous well behaved upto mark service,Positive
stayed iconic celebrate mother's 66th birthday group 4 adult 3 child stayed one night 28th nov 2020 stay truly memorable dream experience room palatial beautifully decorated take opportunity complementing staff outstanding hospitality received stay sincere appreciation mr john mr dattatray chauffeur driving smile check smooth quick special mention m cybercia mr gaurav salian front desk warm providing quick confirmation query culinary delight presented chef breakfast high tea extremely praiseworthy 9 yr old son relished,Positive
visited november 2020 staff warm welcoming team reception kind enough give upgrade requested tier upgrade sea view gaurav team got staff get sea view room cleaned sanitised bell boy manager everyone polite mark hospitality package meal inclusive ensured meal different restaurant feel good factor good stay sheer deceiving luxury,Positive
stayed twice gateway within 2 month finest world service outstanding restaurant best level professionalism efficiency friendliness staff whole level 10 10 experience guaranteed anyone area also vibrant great fun covid protocol reassuring cleaned 247 absolutely spotless must stay heading south bombay business vacation purpose caters,Positive
checked celebrate anniversary booked bookingcom atleast 2 week advance expected call prior checkin date however one called impossible get thorough front desk upon arrival checking pretty ok met ashutosh introduced duty manager mentioned special day hurriedly send across balloon room expected rest saty uneventfull however rude shock minibar empty upon calling duty manager served drink room see later charging harbour bar rate even declined second one 1130,Negative
lovely experience warm welcome great hospitality stay love see heart shape baloon room entered room wife joy double celebrate anniversary,Positive
stayed 28th 29th night luxury grand sea view 4th floor requested husband birthday celebration say god entered room decorated beautifully surpised also food hospitality everything perfect staying sea view dream since year housekeeping team mr chandrakant effort cherry cake right security housekeeping department 1010 work efeciently thank bottom heart stay safe healthy,Positive
im shocked bad become favourite dropped worst ever booked stay suite 4 day got aloof staff overbooked crowded room stinking disinfectant extremely limited room dining menu tasteless food ive put oh hold 3040 min connect receptionoperator meal took hour come overcharged 6000 r something didnt consume never staying recommend one,Negative
think mumbaikars well indian dream staying luxurious list indian got amazing deal owing corona wanna miss opportunity checkin took hour despite prior intimation arrival wait queue perhaps lot walk customer day given nice sea facing room highest possible floor really felt history culture along aspect room walk aisle like memory lane much see enjoy guided tour saw celebrity felt like one request late checkout accepted glad get,Positive
excellent location enchanting breathtaking view great hospitality fantastic food restaurant property must stay enjoyed moment stay painting artwork amazing staff well trained always willing help serve smile looking forward next stay feb 2021,Positive
bad experience greeting staff service long waiting time bad menu waited 15hours printout staff idea talking room full dust especially almirah bathroom overall value money better enjoy another price quality degraded lot,Negative
warmth ever eager welcome ness superb food superior quality presentation side one followup reminder perfect valet service current situation seamless check checkout excellent bar harbor bar,Positive
stayed luxury city facing room checkin took almost hour inefficient staff worst crowd management lunch good taste masala kraft staff courteous took almost hour food served dinner worst le option bad taste dinner supposed served shamina restaurant served ballroom spoilt mood nothing term amenity went wanted visit property long time definitely worth money,Negative
great give immense pride best place stay styed nnumber time always feel fresh look room wing remind great inheritance indian culture,Positive
beautiful stay thetaj enjoyed bit hoping see soon beautiful team like mr nitin hooda mr ajay totally gem personthank team keep good work,Positive
advice wait till regulation covid removed porly managed checkin check parking also food experience pathethic done banquet hall buy inclusive package able enjoy restaurant else feel like come mediocre marriage eating dull banquet without ambience proper spread,Positive
fish market time corona poor management poor food rude staff wonder happened group arrival 1st thought came mind big mistake choosing,Negative
best food good service given special delicacy good enjoyed lot wife memorable time place requirement completed pm time perfection,Positive
remember visiting gateway young boy wishing could stay tajmahal prominent iconic landmark towering gateway able view gateway sea wish came true grace god however location spirit embodies make unforgettable experience think also attitude behaviour staff making guest feel comfortable irrespective socioeconomic status could foundation success story crown simply one best world live atleast lifetime,Positive
dear traveler indeed utter resentment writing review colaba checked dated 06112020 friend get together post covid pandemic experience truly terrible shocking 1 time check took 30 minute illiterate duty manager gaurav saliyan trace booking counter check in liquor bottle neither questioned stopped 2 room tried order veg snack available therefore opted nearby eatery pack snack 3 security incharge shamsher singh stop counter rudely warns carry food inside ok addressed issue duty manager gaurav saliyan behaved,Negative
excellent excellent location located city centerextremely clean comfortable upon arrival warmly welcomed friendly reception staff make trip interesting advice restaurant bar within walking distance definetely recommend everybody true sample excellent hospitality thank going little step extra guest,Positive
half life property beyond luxury elegance two wing modern wing wing booked expected room modern wing upgraded wing architecture stunning two lobby one wing aware attacked terrorist 2008 closed two year memorial killed newwing lobby room elegant several dinning option highend shopping outdoor pool spa historical tour arrive wedding season treated lavish decoration sometimes deafening noise wealthy wedding wedding,Positive
